restaurant_id,restaurant_name,cuisine,zone,commission_rate,avg_prep_time_min,opened_year,price_tier,is_premium_partner,seating_capacity
RST213,Little Corner,American,Jumeirah Lakes Towers,0.29,21,2024,$$$,No,0
RST214,Palm Bites,Lebanese,Jumeirah Lakes Towers,0.28,17,2023,$$,No,60
RST215,Little Corner,Indian,Jumeirah Lakes Towers,0.29,15,2015,$$$,Yes,0
RST216,Bayt Feast,Emirati,Business Bay,0.25,23,2021,$$$,No,60
RST217,Blue Express,Lebanese,Business Bay,0.21,17,2022,$$,No,0
RST218,Urban House,Lebanese,Business Bay,0.18,11,2017,$,No,40
RST219,Desert Garden,Indian,Business Bay,0.3,23,2018,$$$,No,80
RST220,Sunset Souk,Italian,Business Bay,0.27,27,2020,$,No,20
RST221,Bayt House,Emirati,Business Bay,0.16,9,2017,$$$,No,0
RST222,Little Table,Japanese,Business Bay,0.16,13,2016,$$$,Yes,80
RST223,Desert Garden,Lebanese,Business Bay,0.2,15,2024,$,Yes,0
RST224,Palm Corner,Indian,Business Bay,0.28,28,2023,$$$,Yes,80
RST225,Golden Oven,Japanese,Business Bay,0.18,12,2023,$,No,0
RST226,Bayt Souk,Chinese,Business Bay,0.26,14,2023,$$,No,80
RST227,Bayt Express,Indian,Business Bay,0.19,26,2016,$,No,40
RST228,Ocean Grill,Emirati,Business Bay,0.27,20,2019,$$,No,80
RST229,Golden Feast,Chinese,Business Bay,0.23,29,2023,$$$,Yes,80
RST230,Golden Express,Healthy,Business Bay,0.26,9,2016,$,No,60
RST231,Urban Grill,Emirati,Business Bay,0.22,13,2015,$$,Yes,20
RST232,Blue Express,Chinese,Business Bay,0.24,9,2016,$,No,0
RST233,Desert Souk,Indian,Business Bay,0.2,10,2023,$$$,Yes,60
RST234,Royal Grill,Emirati,Business Bay,0.25,13,2022,$$$,No,20
RST235,Desert Kitchen,Healthy,Business Bay,0.27,27,2024,$,Yes,0
RST236,Royal Diner,Italian,Business Bay,0.29,15,2021,$$$,No,80
RST237,Ocean Corner,Lebanese,Business Bay,0.28,22,2021,$$,No,60
RST238,Little Kitchen,Chinese,Business Bay,0.29,16,2022,$,Yes,60
RST240,Desert Garden,Lebanese,Business Bay,0.3,22,2024,$,No,60
RST241,Blue Oven,Italian,Business Bay,0.24,19,2024,$,No,60
RST242,Golden Kitchen,Lebanese,Business Bay,0.23,20,2021,$,Yes,20
RST243,Ocean House,Indian,Business Bay,0.21,16,2019,$$,Yes,0
RST244,Sunset Diner,Indian,Business Bay,0.17,30,2020,$,Yes,20
RST245,Ocean Table,American,Business Bay,0.21,11,2017,$$$,No,20
RST246,Palm Souk,American,Business Bay,0.24,18,2023,$$$,No,0
RST248,Golden Express,Lebanese,Business Bay,0.29,15,2017,$,No,60
RST249,Little Table,Healthy,Business Bay,0.29,29,2022,$$$,No,0
RST250,Royal House,American,Deira,0.17,26,2022,$,No,80
RST251,Casa Corner,Emirati,Deira,0.23,17,2022,$$,Yes,0
RST252,Ocean Table,Lebanese,Deira,0.28,21,2017,$$$,Yes,0
RST253,Palm Grill,Japanese,Deira,0.18,11,2020,$$,No,20
RST254,Sunset Souk,American,Deira,0.22,17,2023,$$,No,20
RST255,Casa Garden,Chinese,Deira,0.29,29,2018,$$$,No,0
RST256,Ocean House,American,Deira,0.29,23,2017,$,Yes,0
RST257,Desert Express,Italian,Deira,0.19,8,2016,$$,Yes,40
RST258,Palm Oven,Emirati,Deira,0.21,25,2018,$,No,0
RST259,Royal Feast,Italian,Deira,0.18,21,2020,$,No,20
RST260,Sunset Souk,Italian,Deira,0.27,21,2021,$$$,Yes,60
RST261,Sunset Bites,Italian,Deira,0.21,27,2021,$$$,No,20
RST262,Ocean Garden,Indian,Deira,0.16,26,2016,$$,Yes,60
RST263,Royal Table,Indian,Deira,0.26,22,2021,$$,Yes,60
RST264,Golden Bites,Emirati,Deira,0.16,19,2021,$$,No,0
RST265,Little Diner,Japanese,Deira,0.19,13,2021,$,No,20
RST266,Ocean Grill,Lebanese,Deira,0.17,29,2021,$,No,0
RST267,Golden Souk,Healthy,Deira,0.17,11,2018,$,Yes,60
RST268,Blue Corner,Italian,Deira,0.2,27,2016,$,No,60
RST269,Urban Souk,Lebanese,Deira,0.18,21,2016,$$$,No,0
RST270,Bayt Grill,Italian,Deira,0.22,20,2019,$,No,40
RST271,Little House,Italian,Deira,0.17,12,2022,$$,No,60
RST272,Ocean Diner,American,Deira,0.21,26,2021,$,No,20
RST273,Royal Corner,Italian,Deira,0.2,15,2015,$$,Yes,80
RST274,Royal Kitchen,Lebanese,Deira,0.2,11,2023,$$$,No,40
RST275,Ocean Oven,Healthy,Deira,0.23,22,2016,$$$,No,60
RST276,Blue Feast,Indian,Al Barsha,0.27,11,2021,$$$,No,0
RST277,Royal Souk,Indian,Al Barsha,0.17,30,2015,$$$,Yes,40
RST278,Palm Bites,Italian,Al Barsha,0.18,21,2017,$$$,No,80
RST279,Urban Corner,Japanese,Al Barsha,0.3,11,2022,$,No,80
RST280,Desert Table,American,Al Barsha,0.22,21,2022,$$$,Yes,80
RST281,Golden Diner,Japanese,Al Barsha,0.27,28,2017,$$$,Yes,40
RST282,Spice Bites,Lebanese,Al Barsha,0.2,26,2015,$$$,Yes,20
RST283,Ocean Express,Emirati,Al Barsha,0.28,16,2022,$$,Yes,0
RST284,Bayt Feast,Italian,Al Barsha,0.27,26,2017,$$$,Yes,0
RST285,Desert Garden,Lebanese,Al Barsha,0.23,24,2022,$,No,20
RST286,Casa Kitchen,Japanese,Al Barsha,0.19,15,2021,$,Yes,80
RST287,Blue Oven,Healthy,Al Barsha,0.27,8,2018,$,No,0
RST288,Sunset Garden,Emirati,Al Barsha,0.27,22,2019,$$$,Yes,0
RST289,Little Grill,Chinese,Al Barsha,0.16,17,2018,$$$,No,0
RST290,Urban Grill,Lebanese,Al Barsha,0.28,19,2018,$,No,40
RST291,Little Corner,Indian,Al Barsha,0.25,9,2023,$$$,No,20
RST292,Golden Bites,Japanese,Al Barsha,0.26,24,2022,$$$,No,0
RST293,Blue House,Italian,Al Barsha,0.17,27,2019,$$$,Yes,20
RST294,Desert House,Emirati,Al Barsha,0.28,16,2021,$$$,No,0
RST295,Spice Grill,American,Al Barsha,0.17,25,2024,$,No,0
RST296,Bayt Express,Lebanese,Al Barsha,0.26,13,2022,$$$,No,80
RST297,Ocean Diner,American,Al Barsha,0.16,10,2017,$,Yes,0
RST298,Ocean Souk,Japanese,Al Barsha,0.22,24,2024,$$$,No,40
RST299,Desert House,Italian,Al Barsha,0.28,21,2020,$$$,No,40
RST300,Urban Bites,Lebanese,Jumeirah,0.18,27,2021,$$,No,60
RST301,Ocean Garden,Healthy,Jumeirah,0.21,25,2023,$$,Yes,20
RST302,Blue Garden,Lebanese,Jumeirah,0.23,23,2017,$$,No,0
RST303,Desert Diner,Japanese,Jumeirah,0.23,19,2018,$,Yes,20
RST304,Desert Diner,Japanese,Jumeirah,0.19,14,2019,$$$,No,60
RST305,Golden Feast,Chinese,Jumeirah,0.18,12,2019,$$$,Yes,40
RST306,Golden Kitchen,American,Jumeirah,0.21,23,2018,$$,Yes,0
RST307,Casa Table,Healthy,Jumeirah,0.21,10,2023,$$$,Yes,0
RST308,Bayt Garden,Healthy,Jumeirah,0.29,16,2022,$,No,60
RST309,Ocean Express,Emirati,Jumeirah,0.22,30,2021,$$$,No,0
RST310,Desert Feast,Lebanese,Jumeirah,0.21,25,2020,$$,No,60
RST311,Sunset Bites,Lebanese,Jumeirah,0.29,28,2016,$$,No,80
RST312,Sunset Kitchen,Lebanese,Jumeirah,0.27,25,2022,$,Yes,80
RST313,Casa Souk,Italian,Jumeirah,0.24,30,2023,$,No,20
RST316,Blue Feast,Indian,Jumeirah,0.16,15,2020,$$$,No,0
RST317,Golden Kitchen,Chinese,Jumeirah,0.21,18,2024,$$,No,40
RST318,Palm House,Italian,Jumeirah,0.28,18,2021,$$$,No,0
RST319,Blue Garden,Emirati,Jumeirah,0.29,29,2022,$$$,No,20
RST320,Casa Table,Japanese,Jumeirah,0.27,26,2023,$,No,20
RST321,Blue Oven,Indian,Jumeirah,0.17,25,2022,$$$,Yes,20
RST322,Palm Table,Chinese,Silicon Oasis,0.2,22,2023,$,No,60
RST323,Desert Feast,Indian,Silicon Oasis,0.19,21,2022,$$,Yes,40
RST324,Ocean Express,Lebanese,Silicon Oasis,0.23,16,2019,$$,No,40
RST326,Urban Souk,Emirati,Silicon Oasis,0.28,18,2017,$,No,60
RST327,Sunset Garden,Japanese,Silicon Oasis,0.19,13,2015,$$,No,0
RST328,Little Garden,Japanese,Silicon Oasis,0.16,21,2015,$$,No,80
RST329,Little Feast,Lebanese,Silicon Oasis,0.17,14,2019,$$$,Yes,0
RST330,Urban Feast,Emirati,Silicon Oasis,0.17,8,2015,$$$,No,0
RST331,Urban Grill,Healthy,Silicon Oasis,0.18,27,2017,$$,Yes,0
RST332,Desert Corner,American,Silicon Oasis,0.24,18,2023,$,No,0
RST333,Bayt Express,Healthy,Silicon Oasis,0.2,20,2015,$,No,20
RST334,Desert Garden,Chinese,Silicon Oasis,0.19,30,2021,$$,No,80
RST335,Little Garden,Healthy,Silicon Oasis,0.17,12,2020,$$,Yes,80
RST336,Urban Oven,Japanese,Silicon Oasis,0.16,20,2019,$$$,No,80
RST337,Urban Souk,Japanese,Silicon Oasis,0.16,13,2024,$$$,No,80
RST339,Sunset Grill,Emirati,Silicon Oasis,0.16,14,2023,$$$,Yes,40
